mid,question,cid,contract,option
4016,Which party will win PA-09?,9078,Will a Republican candidate win the 2018 House of Representatives race in Pennsylvania's 9th district?,Republican
4016,Which party will win PA-09?,9081,Will a Democratic candidate win the 2018 House of Representatives race in Pennsylvania's 9th district?,Democratic
4023,Which party will win MS-03?,9095,Will a Republican candidate win the 2018 House of Representatives race in Mississippi's 3rd district?,Republican
4023,Which party will win MS-03?,9094,Will a Democratic candidate win the 2018 House of Representatives race in Mississippi's 3rd district?,Democratic
4030,Which party will win CA-39?,9124,Will a Democratic candidate win the 2018 House of Representatives race in California's 39th district?,Democratic
4030,Which party will win CA-39?,9125,Will a Republican candidate win the 2018 House of Representatives race in California's 39th district?,Republican
4039,Which party will win CA-49?,9152,Will a Democratic candidate win the 2018 House of Representatives race in California's 49th district?,Democratic
4039,Which party will win CA-49?,9153,Will a Republican candidate win the 2018 House of Representatives race in California's 49th district?,Republican
4104,Which party will win NJ-11?,9373,Will a Democratic candidate win the 2018 House of Representatives race in New Jersey's 11th district?,Democratic
4104,Which party will win NJ-11?,9374,Will a Republican candidate win the 2018 House of Representatives race in New Jersey's 11th district?,Republican
4105,Which party will win NY-09?,9369,Will a Democratic candidate win the 2018 House of Representatives race in New York's 9th district?,Democratic
4105,Which party will win NY-09?,9370,Will a Republican candidate win the 2018 House of Representatives race in New York's 9th district?,Republican
4106,Which party will win SC-04?,9371,Will a Republican candidate win the 2018 House of Representatives race in South Carolina's 4th district?,Republican
4106,Which party will win SC-04?,9372,Will a Democratic candidate win the 2018 House of Representatives race in South Carolina's 4th district?,Democratic
4126,Which party will win NY-19?,9453,Will a Democratic candidate win the 2018 House of Representatives race in New York's 19th district?,Democratic
4126,Which party will win NY-19?,9452,Will a Republican candidate win the 2018 House of Representatives race in New York's 19th district?,Republican
4127,Which party will win NY-01?,9454,Will a Republican candidate win the 2018 House of Representatives race in New York's 1st district?,Republican
4127,Which party will win NY-01?,9455,Will a Democratic candidate win the 2018 House of Representatives race in New York's 1st district?,Democratic
4138,Which party will win MN-08?,9503,Will a Republican candidate win the 2018 House of Representatives race in Minnesota's 8th district?,Republican
4138,Which party will win MN-08?,9504,Will a Democratic or Democratic-Farmer-Labor candidate win the 2018 House of Representatives race in Minnesota's 8th district?,Democratic/DFL
4156,Which party will win FL-17?,9572,Will a Republican candidate win the 2018 House of Representatives race in Florida's 17th district?,Republican
4156,Which party will win FL-17?,9571,Will a Democratic candidate win the 2018 House of Representatives race in Florida's 17th district?,Democratic
4177,Which party will win PA Senate race?,9647,Will a Democratic candidate win the U.S. Senate race in Pennsylvania in 2018?,Democratic
4177,Which party will win PA Senate race?,9648,Will a Republican candidate win the U.S. Senate race in Pennsylvania in 2018?,Republican
4192,Which party will win MS Senate special?,9733,Will a Republican candidate win the 2018 U.S. Senate special election in Mississippi?,Republican
4192,Which party will win MS Senate special?,9734,Will a Democratic candidate win the 2018 U.S. Senate special election in Mississippi?,Democratic
4231,Will Deb Fischer be re-elected?,9906,Will Deb Fischer be re-elected to the U.S. Senate in Nebraska in 2018?,Will Deb Fischer be re-elected?
4232,Will Bob Casey be re-elected?,9907,Will Bob Casey be re-elected to the U.S. Senate in Pennsylvania in 2018?,Will Bob Casey be re-elected?
4253,Which party will win PA-06?,10000,Will a Democratic candidate win the 2018 House of Representatives race in Pennsylvania's 6th district?,Democratic
4253,Which party will win PA-06?,10001,Will a Republican candidate win the 2018 House of Representatives race in Pennsylvania's 6th district?,Republican
4255,Which party will win MN-03 election?,10007,Will a Democratic candidate win the 2018 House of Representatives election in Minnesota's 3rd district?,Democratic
4255,Which party will win MN-03 election?,10008,Will a Republican candidate win the 2018 House of Representatives election in Minnesota's 3rd district?,Republican
4256,Which party will win MI-08 election?,10010,Will a Democratic candidate win the 2018 House of Representatives election in Michigan's 8th district?,Democratic
4256,Which party will win MI-08 election?,10009,Will a Republican candidate win the 2018 House of Representatives election in Michigan's 8th district?,Republican
4257,Which party will win IL-12 election?,10011,Will a Republican candidate win the 2018 House of Representatives election in Illinois' 12th district?,Republican
4257,Which party will win IL-12 election?,10005,Will a Democratic candidate win the 2018 House of Representatives election in Illinois' 12th district?,Democratic
4258,Which party will win NJ-07 election?,10004,Will a Democratic candidate win the 2018 House of Representatives election in New Jersey's 7th district?,Democratic
4258,Which party will win NJ-07 election?,10006,Will a Republican candidate win the 2018 House of Representatives election in New Jersey's 7th district?,Republican
4263,Which party will win NC-09?,10032,Will a Democratic candidate win the 2018 House of Representatives race in North Carolina's 9th district?,Democratic
4263,Which party will win NC-09?,10030,Will a Republican candidate win the 2018 House of Representatives race in North Carolina's 9th district?,Republican
4264,Which party will win NC-13?,10031,Will a Republican candidate win the 2018 House of Representatives race in North Carolina's 13th district?,Republican
4264,Which party will win NC-13?,10033,Will a Democratic candidate win the 2018 House of Representatives race in North Carolina's 13th district?,Democratic
4271,Which party will win PA-17?,10064,Will a Democratic candidate win the 2018 House of Representatives race in Pennsylvania's 17th district?,Democratic
4271,Which party will win PA-17?,10065,Will a Republican candidate win the 2018 House of Representatives race in Pennsylvania's 17th district?,Republican
4281,Which party will win CT-05?,10107,Will a Democratic candidate win the 2018 House of Representatives race in Connecticut's 5th district?,Democratic
4281,Which party will win CT-05?,10108,Will a Republican candidate win the 2018 House of Representatives race in Connecticut's 5th district?,Republican
4304,Which party will win WI-01?,10203,Will a Republican candidate win the 2018 House of Representatives race in Wisconsin's 1st district?,Republican
4304,Which party will win WI-01?,10202,Will a Democratic candidate win the 2018 House of Representatives race in Wisconsin's 1st district?,Democratic
4315,Which party will win FL-15?,10258,Will a Republican candidate win the 2018 House of Representatives race in Florida's 15th district?,Republican
4315,Which party will win FL-15?,10257,Will a Democratic candidate win the 2018 House of Representatives race in Florida's 15th district?,Democratic
4341,Will Doug Lamborn be re-elected?,10356,Will Doug Lamborn be re-elected to the House of Representatives from Colorado's 5th district?,Will Doug Lamborn be re-elected to Congress?
4446,Which party will win MN-01?,10825,Will a Democratic candidate win the 2018 House of Representatives race in Minnesota's 1st district?,Democratic
4446,Which party will win MN-01?,10828,Will a Republican candidate win the 2018 House of Representatives race in Minnesota's 1st district?,Republican
4447,Which party will win NV-04?,10830,Will a Democratic candidate win the 2018 House of Representatives race in Nevada's 4th district?,Democratic
4447,Which party will win NV-04?,10829,Will a Republican candidate win the 2018 House of Representatives race in Nevada's 4th district?,Republican
4448,Which party will win NV-03?,10826,Will a Democratic candidate win the 2018 House of Representatives race in Nevada's 3rd district?,Democratic
4448,Which party will win NV-03?,10827,Will a Republican candidate win the 2018 House of Representatives race in Nevada's 3rd district?,Republican
4557,Which party will win VA Senate race?,11267,Will a Democratic candidate win the U.S. Senate race in Virginia in 2018?,Democratic
4557,Which party will win VA Senate race?,11265,Will a Republican candidate win the U.S. Senate race in Virginia in 2018?,Republican
4638,Which party will win CA-48?,11547,Will a Republican candidate win the 2018 House race in CA's 48th district?,Republican
4638,Which party will win CA-48?,11546,Will a Democratic candidate win the 2018 House race in CA's 48th district?,Democratic
4643,Which party will win NY-14?,11569,Will a Democratic candidate win the 2018 House race in NY's 14th district?,Democratic
4643,Which party will win NY-14?,11570,Will a Republican candidate win the 2018 House race in NY's 14th district?,Republican
4644,Which party will win WV-03?,11572,Will a Republican candidate win the 2018 House race in WV's 3rd district?,Republican
4644,Which party will win WV-03?,11571,Will a Democratic candidate win the 2018 House race in WV's 3rd district?,Democratic
4729,Will Chris Collins be re-elected?,11900,Will Chris Collins be re-elected to the House of Reps from NY's 27th district?,Will Chris Collins be re-elected?
4775,Will David Valadao be re-elected?,12096,Will David Valadao be re-elected to the House of Reps from CA's 21st district?,Will David Valadao be re-elected?
4776,Will Mimi Walters be re-elected?,12097,Will Mimi Walters be re-elected to the House of Reps from CA's 45th district?,Will Mimi Walters be re-elected?
4779,Will Peter Roskam be re-elected?,12111,Will Peter Roskam be re-elected to the House of Reps from IL's 6th district?,Will Peter Roskam be re-elected?
4780,Will Rodney Davis be re-elected?,12112,Will Rodney Davis be re-elected to the House of Reps from IL's 13th district?,Will Rodney Davis be re-elected?
4784,Will Tom MacArthur be re-elected?,12128,Will Tom MacArthur be re-elected to the House of Reps from NJ's 3rd district?,Will Tom MacArthur be re-elected?
4786,Which party will win OH-12?,12136,Will a Republican candidate win the 2018 House of Rep general election in OH-12?,Republican
4786,Which party will win OH-12?,12137,Will a Democratic candidate win the 2018 House of Rep general election in OH-12?,Democratic
4787,Will Steve Chabot be re-elected?,12138,Will Steve Chabot be re-elected to the House of Reps from OH's 1st district?,Will Steve Chabot be re-elected?
4790,Will John Culberson be re-elected?,12153,Will John Culberson be re-elected to the House of Reps from TX's 7th district?,Will John Culberson be re-elected?
4791,Will Pete Sessions be re-elected?,12154,Will Pete Sessions be re-elected to the House of Reps from TX's 32nd district?,Will Pete Sessions be re-elected?
4795,Will Duncan Hunter be re-elected?,12182,Will Duncan Hunter be re-elected to the House of Reps from CA's 50th district?,Will Duncan Hunter be re-elected?
4798,Will David Brat be re-elected?,12201,Will David Brat be re-elected to the House of Reps from VA's 7th district?,Will David Brat be re-elected?
4799,Will Brian Fitzpatrick be re-elected?,12202,Will Brian Fitzpatrick be re-elected to the House from PA's 1st district?,Will Brian Fitzpatrick be re-elected?
4807,Will Rod Blum be re-elected?,12233,Will Rod Blum be re-elected to the House from IA's 1st district?,Will Rod Blum be re-elected?
4824,Which party will win CA-45?,12317,Will a Democratic candidate win the 2018 House race in CA's 45th district?,Democratic
4824,Which party will win CA-45?,12318,Will a Republican candidate win the 2018 House race in CA's 45th district?,Republican
4825,Which party will win CA-10?,12319,Will a Democratic candidate win the 2018 House race in CA's 10th district?,Democratic
4825,Which party will win CA-10?,12320,Will a Republican candidate win the 2018 House race in CA's 10th district?,Republican
4830,Which party will win IA-03?,12361,Will a Democratic candidate win the 2018 House race in IA's 3rd district?,Democratic
4830,Which party will win IA-03?,12362,Will a Republican candidate win the 2018 House race in IA's 3rd district?,Republican
4831,Which party will win NY-22?,12364,Will a Republican candidate win the 2018 House race in NY's 22nd district?,Republican
4831,Which party will win NY-22?,12363,Will a Democratic candidate win the 2018 House race in NY's 22nd district?,Democratic
4838,Which party will win KS-03?,12390,Will a Democratic candidate win the 2018 House race in KS's 3rd district?,Democratic
4838,Which party will win KS-03?,12391,Will a Republican candidate win the 2018 House race in KS's 3rd district?,Republican
4839,Which party will win KS-02?,12393,Will a Republican candidate win the 2018 House race in KS's 2nd district?,Republican
4839,Which party will win KS-02?,12392,Will a Democratic candidate win the 2018 House race in KS's 2nd district?,Democratic
4843,Which party will win AZ-02?,12402,Will a Democratic candidate win the 2018 House race in AZ's 2nd district?,Democratic
4843,Which party will win AZ-02?,12403,Will a Republican candidate win the 2018 House race in AZ's 2nd district?,Republican
4885,Which party will win NM-02?,12558,Will a Republican candidate win the 2018 House race in NM's 2nd district?,Republican
4885,Which party will win NM-02?,12557,Will a Democratic candidate win the 2018 House race in NM's 2nd district?,Democratic
4886,Which party will win KY-06?,12560,Will a GOP candidate win the 2018 House of Reps race in KY's 6th district?,Republican
4886,Which party will win KY-06?,12559,Will a Dem candidate win the 2018 House of Reps race in KY's 6th district?,Democratic
4943,Which party will win MN-07?,12815,Will a Dem candidate win the 2018 House of Reps race in MN's 7th district?,Democratic
4943,Which party will win MN-07?,12816,Will a GOP candidate win the 2018 House of Reps race in MN's 7th district?,Republican
4944,Which party will win GA-07?,12818,Will a GOP candidate win the 2018 House of Reps race in GA's 7th district?,Republican
4944,Which party will win GA-07?,12817,Will a Dem candidate win the 2018 House of Reps race in GA's 7th district?,Democratic
4945,Which party will win ME-02?,12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,Democratic
4945,Which party will win ME-02?,12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,Republican
4968,Buhari re-elected Nigerian pres in 2019?,12933,Will Muhammadu Buhari be re-elected president of Nigeria in 2019?,Buhari re-elected Nigerian pres in 2019?
4978,Which party will win VA-05?,12970,Will a GOP candidate win the 2018 House of Reps race in VA's 5th district?,Republican
4978,Which party will win VA-05?,12969,Will a Dem candidate win the 2018 House of Reps race in VA's 5th district?,Democratic
4989,Which party will win NY-11?,13016,Will a Republican candidate win the 2018 House race in NY's 11th district?,Republican
4989,Which party will win NY-11?,13015,Will a Democratic candidate win the 2018 House race in NY's 11th district?,Democratic
4991,Which party will win MI-07?,13022,Will a GOP candidate win the 2018 House of Reps race in Michigan's 7th district?,Republican
4991,Which party will win MI-07?,13021,Will a Dem candidate win the 2018 House of Reps race in Michigan's 7th district?,Democratic
4992,Which party will win GA-06?,13023,Will a Dem candidate win the 2018 House of Reps race in Georgia's 6th district?,Democratic
4992,Which party will win GA-06?,13024,Will a GOP candidate win the 2018 House of Reps race in Georgia's 6th district?,Republican
4993,Which party will win UT-04?,13025,Will a Dem candidate win the 2018 House of Reps race in Utah's 4th district?,Democratic
4993,Which party will win UT-04?,13026,Will a GOP candidate win the 2018 House of Reps race in Utah's 4th district?,Republican
4994,Which party will win CO-03?,13028,Will a GOP candidate win the 2018 House of Reps race in Colorado's 3rd district?,Republican
4994,Which party will win CO-03?,13027,Will a Dem candidate win the 2018 House of Reps race in Colorado's 3rd district?,Democratic
5003,Which party will win AK at-large?,13057,Will a GOP candidate win the 2018 House of Reps race in AK?,Republican
5003,Which party will win AK at-large?,13056,Will a Dem candidate win the 2018 House of Reps race in AK?,Democratic
5004,Which party will win MT at-large?,13059,Will a GOP candidate win the 2018 House of Reps race in MT?,Republican
5004,Which party will win MT at-large?,13058,Will a Dem candidate win the 2018 House of Reps race in MT?,Democratic
5005,Which party will win IL-14?,13060,Will a Dem candidate win the 2018 House of Reps race in IL's 14th district?,Democratic
5005,Which party will win IL-14?,13061,Will a GOP candidate win the 2018 House of Reps race in IL's 14th district?,Republican
5006,Which party will win NC-02?,13063,Will a GOP candidate win the 2018 House of Reps race in NC's 2nd district?,Republican
5006,Which party will win NC-02?,13062,Will a Dem candidate win the 2018 House of Reps race in NC's 2nd district?,Democratic
5007,Which party will win NY-24?,13065,Will a GOP candidate win the 2018 House of Reps race in NY's 24th district?,Republican
5007,Which party will win NY-24?,13064,Will a Dem candidate win the 2018 House of Reps race in NY's 24th district?,Democratic
5008,Which party will win WA-03?,13067,Will a GOP candidate win the 2018 House of Reps race in WA's 3rd district?,Republican
5008,Which party will win WA-03?,13066,Will a Dem candidate win the 2018 House of Reps race in WA's 3rd district?,Democratic
5009,Which party will win WA-05?,13069,Will a GOP candidate win the 2018 House of Reps race in WA's 5th district?,Republican
5009,Which party will win WA-05?,13068,Will a Dem candidate win the 2018 House of Reps race in WA's 5th district?,Democratic
